StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
California;CA;2131939.09;6563257.46;2828637.98;100809.41;314249.30;0.00;125226.73;183341.86;3010992.17;393865.00;2007
Colorado                                                                                                                       ;CO;427705.77;1188979.19;626791.10;13869.18;77770.47;0.00;39208.85;29879.91;401459.68;70419.00;2007
Connecticut                                                                                                                      ;CT;253799.85;629318.65;213376.65;4367.77;42599.52;0.00;10460.20;28847.67;329666.85;54216.00;2007
Delaware                                                                                                                     ;DE;80592.24;188186.11;89792.23;0.00;7780.58;0.00;3219.17;5275.18;82118.96;13824.00;2007
District of Columbia                                                                                                            ;DC;39243.26;1666575.55;90232.49;161385.79;14187.57;0.00;1257787.71;3241.11;139740.88;10659.00;2007
Florida                                                                                                                     ;FL;1746538.67;5684838.63;2755443.61;72199.48;222907.86;0.00;95987.44;143365.43;2394934.82;441648.00;2007
Georgia                                                                                                                     ;GA;765289.41;2355619.28;1227579.94;6459.84;166499.32;0.00;73341.52;43089.17;838649.49;140381.00;2007
Hawaii                                                                                                                     ;HI;118633.39;336291.95;174875.72;414.40;20931.39;0.00;9753.16;13195.17;117122.10;19657.00;2007
Idaho                                                                                                               ;ID;137151.90;403660.74;201041.88;692.10;17107.03;0.00;4720.74;7430.32;172668.67;32974.00;2007
Illinois                                                                                                               ;IL;841679.50;2210728.82;739159.48;57505.66;99379.59;0.00;78936.52;70672.14;1165075.43;184259.00;2007
Indiana                                                                                                               ;IN;517763.76;1215536.64;518640.06;13598.00;41412.53;0.00;20163.57;26739.38;594983.10;114723.00;2007
Iowa                                                                                                              ;IA;251420.45;674838.02;273938.14;291.50;22209.18;0.00;6701.18;20146.14;351551.87;68878.00;2007
Kansas                                                                                                             ;KS;236595.70;678306.81;292485.19;1472.67;29737.93;0.00;9920.12;16867.36;327823.55;60157.00;2007
Kentucky                                                                                                             ;KY;347012.96;1242309.97;617689.57;2665.82;42512.04;0.00;17140.32;18108.18;544194.05;94860.00;2007
Louisiana                                                                                                        ;LA;325992.07;1138026.58;571054.83;1292.19;38999.20;0.00;18729.50;20452.08;487498.78;83431.00;2007
Maine                                                                                                       ;ME;144006.64;564035.91;311564.35;377.61;25062.51;0.00;8387.62;9543.69;209100.13;38918.00;2007
Maryland                                                                                                      ;MD;484012.80;1242613.68;546252.80;8747.66;62064.90;0.00;18936.79;38381.68;568229.84;75844.00;2007
Massachusetts;MA;440900.69;1420023.02;610631.60;4080.15;44719.57;0.00;20098.39;47569.76;692923.55;82138.00;2007
Michigan;MI;761308.07;1679508.49;797861.71;11822.23;64558.81;0.00;34087.79;48116.79;723061.16;124750.00;2007
Minnesota;MN;408467.99;1277758.80;570265.82;9936.32;41122.18;0.00;46984.76;33476.79;575972.93;96875.00;2007
Mississippi;MS;215803.80;918553.81;400015.50;43303.91;21849.23;0.00;20580.51;12637.70;420166.96;70030.00;2007
Missouri                                                                                                                       ;MO;530799.02;1567041.79;699360.70;10004.14;59876.58;0.00;64983.50;34118.27;698698.60;129729.00;2007
Montana                                                                                                                        ;MT;104391.48;346634.07;180667.27;3096.09;13261.16;0.00;5159.88;7192.59;137257.08;30240.00;2007
Nebraska                                                                                                                       ;NE;152842.94;516322.97;214673.23;6725.53;22716.05;0.00;11143.60;13243.26;247821.31;43966.00;2007
Nevada                                                                                                                         ;NV;245772.71;763013.69;321105.40;36989.44;27421.98;0.00;10232.85;12556.02;354708.01;54070.00;2007
New Hampshire                                                                                                                  ;NH;132289.87;356852.34;164806.28;293.00;17640.35;0.00;7018.17;9828.53;157266.01;26507.00;2007
New Jersey                                                                                                                    ;NJ;506752.08;1204049.57;549562.55;5152.20;62138.27;0.00;12309.90;57659.00;517227.64;83153.00;2007
New Mexico                                                                                                                     ;NM;179497.01;769801.22;399911.99;2644.09;31501.33;0.00;10139.70;12371.22;313232.89;56278.00;2007
New York                                                                                                                      ;NY;1065748.76;3569620.51;1257617.01;6441.48;160588.71;0.00;92737.50;107288.94;1944946.88;249163.00;2007
North Carolina                                                                                                                ;NC;773630.02;2582760.12;1425344.26;6551.52;132559.96;0.00;48488.22;43314.78;926501.38;168807.00;2007
North Dakota                                                                                                                   ;ND;58283.45;181298.04;89404.40;690.06;9821.71;0.00;4249.63;3569.93;73562.30;17293.00;2007
Ohio                                                                                                                           ;OH;957889.22;2970790.98;1029532.83;62074.52;81176.85;0.00;515546.18;66597.45;1215863.15;199167.00;2007
Oklahoma                                                                                                                      ;OK;338085.89;1452479.83;886984.22;597.79;59963.94;0.00;51482.07;19072.72;434379.08;81997.00;2007
Oregon                                                                                                                         ;OR;351697.10;1239452.47;604849.65;15256.94;48156.32;0.00;29415.80;23801.85;517971.91;81470.00;2007
