StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Puerto Rico                                                                                                                   ;#N/A;102921.43;1243966.23;604033.94;62023.20;43296.08;0.00;24207.88;2268.15;508136.99;58201.00;2012
Guam;#N/A;8913.26;53349.76;37657.91;0.00;7485.21;0.00;0.00;882.87;7323.78;;2012
Alabama;AL;414963.19;2824088.50;1580860.54;1921.75;189413.65;0.00;33884.86;29857.40;988150.30;108175.00;2013
Alaska;AK;74670.68;501604.26;211259.88;616.10;61849.81;0.00;6686.46;3440.64;217751.37;17304.00;2013
Arizona                                                                                                                        ;AZ;527399.54;3220904.75;1409346.50;21201.37;343819.71;0.00;108885.31;36145.37;1301506.50;137362.00;2013
Arkansas                                                                                                                       ;AR;250095.05;1946614.51;924670.59;7938.33;79062.84;0.00;31331.49;13484.36;890126.89;86763.00;2013
California;CA;1795454.69;12707535.80;5397860.03;145008.19;1599760.46;0.00;192392.35;162955.52;5209559.25;444432.00;2013
Colorado                                                                                                                       ;CO;390823.84;2594676.61;1212142.88;112613.66;324347.44;0.00;62854.33;32483.45;850234.86;90822.00;2013
Connecticut                                                                                                                      ;CT;207759.34;1078566.99;365637.84;8332.20;96415.82;0.00;13794.21;24195.05;570191.88;51360.00;2013
Delaware                                                                                                                     ;DE;78015.97;362616.98;169963.43;858.75;34330.95;0.00;3894.99;5594.96;147973.91;14676.00;2013
District of Columbia                                                                                                            ;DC;31165.78;2295598.64;78699.10;153310.25;31053.92;0.00;1825604.41;2785.29;204145.66;8800.00;2013
Florida                                                                                                                     ;FL;1520562.87;10430773.56;4728272.63;131870.00;892554.68;0.00;146087.91;139644.53;4392343.80;479193.00;2013
Georgia                                                                                                                     ;GA;774464.06;4670708.93;2482164.45;3359.12;453033.83;0.00;109242.27;48822.25;1574087.02;179821.00;2013
Hawaii                                                                                                                     ;HI;116946.73;754679.99;337918.69;1689.78;142729.03;0.00;16013.25;13109.34;243219.90;23825.00;2013
Idaho                                                                                                               ;ID;138108.14;746018.45;334504.26;11690.01;51512.80;0.00;7806.66;8005.53;332499.19;39928.00;2013
Illinois                                                                                                               ;IL;744710.24;3854716.99;1450236.14;18557.86;311330.10;0.00;51835.40;65139.08;1957618.42;180384.00;2013
Indiana                                                                                                               ;IN;490380.00;2477766.58;1092854.71;8783.17;150032.97;0.00;48931.49;27940.53;1149223.71;128499.00;2013
Iowa                                                                                                              ;IA;233814.69;1192888.83;505601.29;79.34;74079.32;0.00;10584.52;18890.99;583653.37;72191.00;2013
Kansas                                                                                                             ;KS;223707.71;1237984.92;529023.14;742.64;103950.19;0.00;27158.30;17339.77;559770.88;58097.00;2013
Kentucky                                                                                                             ;KY;339334.11;2229580.21;1087772.11;7128.77;139199.32;0.00;37982.74;18871.20;938626.07;101096.00;2013
Louisiana                                                                                                        ;LA;315342.46;2202388.16;1016205.69;202777.30;120767.16;0.00;26501.36;19941.42;816195.24;86890.00;2013
Maine                                                                                                       ;ME;127694.44;873125.35;467397.84;7.23;42576.73;0.00;18276.99;9459.01;335407.55;39358.00;2013
Maryland                                                                                                      ;MD;443076.15;2453556.93;1047226.19;7521.01;333942.67;0.00;24725.02;42512.33;997629.72;82183.00;2013
Massachusetts;MA;374808.79;2371613.04;985893.70;20551.67;192974.79;0.00;32545.84;41234.74;1098412.31;84345.00;2013
Michigan;MI;660772.93;3361960.79;1675388.38;6184.65;208564.90;0.00;51290.83;43961.42;1376570.61;146804.00;2013
Minnesota;MN;360754.30;2336964.80;986609.03;15599.66;133628.68;0.00;82026.62;33370.19;1085730.62;113577.00;2013
Mississippi;MS;225469.06;1470949.50;666715.32;12229.68;88010.25;0.00;29312.53;13393.93;661287.80;69676.00;2013
Missouri                                                                                                                       ;MO;497873.67;3025844.64;1386280.02;34423.02;189472.79;0.00;146125.83;32795.79;1236747.20;137008.00;2013
Montana                                                                                                                        ;MT;101596.57;646509.24;290869.23;8.44;38236.90;0.00;7764.80;7071.76;302558.10;35189.00;2013
Nebraska                                                                                                                       ;NE;138773.40;1023760.94;487974.53;9837.01;63596.53;0.00;36470.41;12588.78;413293.68;47275.00;2013
Nevada                                                                                                                         ;NV;225933.29;1573090.94;641968.52;19640.93;95562.05;0.00;13504.85;14515.74;787898.85;65443.00;2013
New Hampshire                                                                                                                  ;NH;110777.60;613805.38;268735.16;1282.46;50860.51;0.00;6142.43;8472.89;278311.94;28604.00;2013
New Jersey                                                                                                                    ;NJ;425093.79;1927021.12;906744.06;6577.69;196112.89;0.00;15867.92;51994.32;749724.25;77179.00;2013
New Mexico                                                                                                                     ;NM;170698.96;1312942.62;686221.79;26570.87;67315.44;0.00;12585.97;12750.02;507498.53;49981.00;2013
New York                                                                                                                      ;NY;885796.20;5621910.60;2063565.60;17521.21;493102.17;0.00;120557.68;94116.02;2833047.91;231161.00;2013
North Carolina                                                                                                                ;NC;769384.04;5067823.42;2712319.31;21237.99;399186.38;0.00;91537.98;53714.34;1789827.42;205006.00;2013
North Dakota                                                                                                                   ;ND;56213.04;334755.00;149595.59;2623.11;22769.53;0.00;6478.66;3770.43;149517.68;18526.00;2013
Ohio                                                                                                                           ;OH;877894.39;6643911.36;1837566.70;34987.46;296446.32;0.00;2202389.17;59095.98;2213425.73;223944.00;2013
Oklahoma                                                                                                                      ;OK;340394.85;2568389.55;1544376.19;5319.54;131029.63;0.00;121588.16;19958.16;746117.88;90731.00;2013
Oregon                                                                                                                         ;OR;322355.14;2283128.55;1100286.57;36701.91;128168.79;0.00;35298.19;23227.94;959445.16;96190.00;2013
Pennsylvania                                                                                                                   ;PA;953644.13;4782351.48;2029588.76;49407.44;359064.90;0.00;158258.16;82385.54;2103646.69;232054.00;2013
Rhode Island                                                                                                                   ;RI;69206.02;474338.46;193988.00;2867.48;35524.53;0.00;19475.53;5928.16;216554.75;20132.00;2013
South Carolina                                                                                                                 ;SC;420968.22;2876324.27;1557784.27;2556.70;223347.77;0.00;63246.23;28310.44;1001078.86;123070.00;2013
South Dakota                                                                                                                   ;SD;75686.75;564489.37;209347.40;1976.12;30364.32;0.00;10391.55;5461.22;306948.76;29744.00;2013
Tennessee                                                                                                                      ;TN;521266.62;3320710.33;1652616.15;6442.87;236754.39;0.00;63013.90;33643.68;1328239.34;135582.00;2013
Texas                                                                                                                          ;TX;1667740.19;12943392.60;6091910.09;30026.01;1118113.99;1385063.01;220626.26;110749.76;3986903.49;434255.00;2013
Utah                                                                                                                           ;UT;150771.03;887516.43;350923.49;6163.32;85973.52;0.00;53144.81;10032.73;381278.57;34062.00;2013
Vermont                                                                                                                        ;VT;48812.14;273966.31;118285.56;1104.86;20295.85;0.00;3991.58;3339.67;126948.79;14925.00;2013
Virginia                                                                                                                       ;VA;840397.86;4653544.74;2291199.63;22760.64;874229.20;0.00;61129.15;60779.28;1343446.84;142605.00;2013
Washington                                                                                                                     ;WA;602271.66;3384110.45;1788537.49;55674.47;343793.10;0.00;67749.42;41915.47;1086440.50;118461.00;2013
West Virginia                                                                                                                  ;WV;173388.53;1601256.01;625689.46;6525.02;44341.30;0.00;261559.61;9870.73;653269.90;58733.00;2013
Wisconsin                                                                                                                     ;WI;409419.38;2421848.77;972510.87;12223.82;133678.98;0.00;69991.46;34398.25;1199045.40;118371.00;2013
Wyoming                                                                                                                        ;WY;56517.73;343611.03;127556.51;7264.35;15750.95;0.00;1455.61;3130.93;188452.69;18583.00;2013
Puerto Rico                                                                                                                   ;#N/A;99928.18;1387776.91;697878.79;7755.86;46540.73;0.00;19912.34;2495.76;613193.44;58009.00;2013
Guam;#N/A;9054.92;66330.04;46193.25;0.00;10629.36;0.00;0.00;495.07;9012.37;0.00;2013
Alabama;AL;413618.18;3191317.03;1875091.04;4991.59;225324.93;0.00;35139.93;29054.06;1021715.50;110616.00;2014
Alaska;AK;73397.09;552279.97;244436.55;165.30;74731.13;0.00;6154.36;3854.56;222938.07;18182.00;2014
Arizona                                                                                                                        ;AZ;532205.84;3607036.46;1666170.04;15452.17;410041.29;0.00;107135.14;33149.45;1375088.36;143785.00;2014
Arkansas                                                                                                                       ;AR;249274.19;2143833.84;1055812.72;7143.03;95186.28;0.00;29630.67;15815.52;940245.62;86718.00;2014
California;CA;1851469.99;14318281.23;6376052.13;153524.86;1848364.49;0.00;197939.60;157548.68;5584851.47;460954.00;2014
Colorado                                                                                                                       ;CO;413271.38;3073039.02;1447415.84;221644.42;379047.25;0.00;61078.75;32291.01;931561.76;95382.00;2014
Connecticut                                                                                                                      ;CT;213419.99;1171098.71;432271.27;402.68;106708.76;0.00;14238.19;24165.93;593311.87;51073.00;2014
Delaware                                                                                                                     ;DE;78099.14;398842.12;199731.98;693.07;38125.99;0.00;3791.67;5711.31;150788.10;15000.00;2014
District of Columbia                                                                                                            ;DC;29825.06;2703410.18;90386.51;257897.04;35085.51;0.00;2091541.22;3093.78;225406.13;8598.00;2014
Florida                                                                                                                     ;FL;1583696.93;11688201.22;5618726.01;80833.08;1043675.36;0.00;149941.59;132732.30;4662292.89;493890.00;2014
Georgia                                                                                                                     ;GA;752882.32;5398211.14;3004840.42;1056.22;528777.03;0.00;106880.52;48835.97;1707820.98;189127.00;2014
Hawaii                                                                                                                     ;HI;121006.69;842115.46;388532.22;572.64;167447.21;0.00;16592.62;14822.24;254148.54;25041.00;2014
Idaho                                                                                                               ;ID;132395.02;827989.53;401210.81;994.84;58612.38;0.00;8179.98;7587.18;351404.35;41266.00;2014
Illinois                                                                                                               ;IL;721574.93;4248086.22;1680631.97;17019.43;349069.37;0.00;49986.18;62952.93;2088426.34;182101.00;2014
Indiana                                                                                                               ;IN;476282.68;2667904.99;1239687.67;1548.92;165293.03;0.00;50029.46;24944.17;1186401.74;129308.00;2014
Iowa                                                                                                              ;IA;231654.81;1339350.18;592671.44;378.92;78530.04;0.00;11155.78;18393.22;638220.78;72367.00;2014
Kansas                                                                                                             ;KS;221205.82;1358490.89;632709.34;269.66;113361.59;0.00;25295.10;16882.87;569972.32;58490.00;2014
Kentucky                                                                                                             ;KY;330599.12;2425357.92;1255748.13;10244.83;155455.06;0.00;40024.25;18857.79;945027.86;101840.00;2014
Louisiana                                                                                                        ;LA;330144.98;2540465.52;1211754.10;260203.80;146467.88;0.00;26158.44;20187.18;875694.13;88621.00;2014
Maine                                                                                                       ;ME;127234.18;959396.32;541754.00;125.65;45923.86;0.00;18616.08;8732.52;344244.22;39859.00;2014
Maryland                                                                                                      ;MD;437762.31;2688110.66;1228854.00;5298.66;364341.77;0.00;23588.97;38630.36;1027396.92;82383.00;2014
Massachusetts;MA;379772.07;2593152.30;1159009.48;5711.89;209260.87;0.00;29524.16;43491.35;1146154.56;83926.00;2014
Michigan;MI;658469.42;3753562.59;1983450.74;17517.10;232513.54;0.00;52983.46;46115.74;1420982.00;150215.00;2014
Minnesota;MN;369148.78;2564645.96;1146384.37;16225.23;151587.15;0.00;83321.75;30814.70;1136312.75;115827.00;2014
Mississippi;MS;220388.67;1657041.89;776678.64;36478.12;100466.58;0.00;30094.45;14544.22;698779.88;69754.00;2014
Missouri                                                                                                                       ;MO;494346.17;3440223.05;1651755.20;79827.88;209426.15;0.00;154454.81;32728.04;1312030.97;139929.00;2014
Montana                                                                                                                        ;MT;99646.24;731755.43;335093.07;250.45;42165.92;0.00;8087.66;7950.27;338208.05;35966.00;2014
Nebraska                                                                                                                       ;NE;143375.08;1136145.91;557740.50;9146.61;70253.85;0.00;36826.54;13011.56;449166.84;47352.00;2014
Nevada                                                                                                                         ;NV;228027.40;1780650.70;776442.58;50831.26;108907.64;0.00;12870.00;13405.88;818193.33;69464.00;2014
New Hampshire                                                                                                                  ;NH;113660.33;674052.27;311022.39;3743.92;58392.26;0.00;5999.78;8978.74;285915.17;28969.00;2014
New Jersey                                                                                                                    ;NJ;428395.72;2115577.73;1047058.08;555.29;214107.55;0.00;18716.39;51044.73;784095.69;77128.00;2014
New Mexico                                                                                                                     ;NM;171528.27;1450001.73;794229.39;11766.90;79524.28;0.00;12853.83;11087.49;540539.84;51702.00;2014
New York                                                                                                                      ;NY;892221.24;6123810.30;2396837.27;30504.09;548239.67;0.00;124442.38;92820.60;2930966.28;230159.00;2014
North Carolina                                                                                                                ;NC;775020.25;5949872.75;3328183.41;8404.89;478939.07;0.00;93726.48;53403.36;1987215.55;214278.00;2014
North Dakota                                                                                                                   ;ND;57395.13;367003.29;171164.73;3969.53;25528.14;0.00;6507.54;4155.87;155677.48;18988.00;2014
Ohio                                                                                                                           ;OH;866480.52;7504280.56;2235023.12;21381.76;324968.53;0.00;2549868.24;56927.65;2316111.26;230266.00;2014
Oklahoma                                                                                                                      ;OK;337571.28;2934748.31;1823983.41;4905.36;155650.07;0.00;121168.68;20466.88;808573.92;92674.00;2014
Oregon                                                                                                                         ;OR;331632.42;2542834.02;1282449.36;19124.16;142348.40;0.00;35596.70;23412.72;1039902.68;99502.00;2014
Pennsylvania                                                                                                                   ;PA;939069.14;5260391.17;2432807.23;19992.47;376416.84;0.00;158370.61;79167.37;2193636.66;233551.00;2014
Rhode Island                                                                                                                   ;RI;71966.27;529502.89;232603.52;3355.07;40497.86;0.00;21115.05;6221.09;225710.29;19954.00;2014
South Carolina                                                                                                                 ;SC;417553.51;3289095.29;1868959.14;10942.11;267184.72;0.00;65216.40;31414.72;1045378.20;127365.00;2014
South Dakota                                                                                                                   ;SD;72030.26;619863.73;238175.23;3531.17;31787.08;0.00;11592.98;6102.60;328674.66;29827.00;2014
Tennessee                                                                                                                      ;TN;506339.96;3758887.71;1995305.41;6028.31;269071.40;0.00;63216.58;32085.40;1393180.61;140625.00;2014
Texas                                                                                                                          ;TX;1680417.93;15394004.64;7282259.67;28797.89;1357829.52;2046206.50;223666.91;110140.68;4345103.49;446303.00;2014
Utah                                                                                                                           ;UT;151718.52;1029343.80;433072.70;2155.85;120457.02;0.00;56947.44;11521.49;405189.30;35142.00;2014
Vermont                                                                                                                        ;VT;48601.62;295362.05;135802.97;1559.91;20321.38;0.00;3796.08;3154.87;130726.83;14919.00;2014
Virginia                                                                                                                       ;VA;781387.93;5251707.27;2729280.18;21218.12;931879.98;0.00;63299.84;62359.90;1443669.25;148585.00;2014
Washington                                                                                                                     ;WA;603622.62;3811479.02;2070141.47;33346.27;392246.65;0.00;71073.53;41738.64;1202932.47;124006.00;2014
West Virginia                                                                                                                  ;WV;167355.11;1826167.17;722957.62;9927.10;49784.37;0.00;318791.15;8505.37;716201.56;59261.00;2014
Wisconsin                                                                                                                     ;WI;413722.69;2665107.12;1142091.36;11983.95;143543.76;0.00;70815.80;33241.75;1263430.48;120515.00;2014
Wyoming                                                                                                                        ;WY;49707.74;383891.45;152461.07;4143.66;17543.57;0.00;1623.04;2710.16;205409.95;18730.00;2014
Puerto Rico                                                                                                                   ;#N/A;93240.16;1563236.60;816543.78;17829.98;65063.60;0.00;22156.59;2832.27;638810.37;57248.00;2014
Guam;#N/A;9452.60;88631.25;51980.67;0.00;15388.67;0.00;0.00;831.53;20430.38;2584.00;2014
Alabama;AL;411717.47;3248127.38;1856515.12;9856.97;217277.57;0.00;37450.16;24417.97;1102609.60;111832.00;2015
Alaska;AK;73275.80;584862.50;247523.92;39.66;72262.04;0.00;8107.10;2642.23;254287.56;19256.00;2015
Arizona                                                                                                                        ;AZ;528486.27;3757595.94;1652046.94;19007.03;407881.61;0.00;79842.68;37466.16;1561351.51;147953.00;2015
Arkansas                                                                                                                       ;AR;247887.62;2174053.02;1037492.35;17025.61;88985.63;0.00;30086.22;14966.27;985496.94;86908.00;2015
California;CA;1802445.54;14938931.48;6552099.92;158970.29;1786145.85;0.00;195903.53;168464.78;6077347.11;467539.00;2015
Colorado                                                                                                                       ;CO;409469.02;3482532.83;1490936.30;438517.64;391310.59;0.00;60067.63;36676.63;1065024.05;100614.00;2015
Connecticut                                                                                                                      ;CT;206548.63;1249123.96;435226.12;160.11;107651.50;0.00;15454.97;22613.18;668018.08;50584.00;2015
Delaware                                                                                                                     ;DE;77354.04;422277.67;204297.31;2645.94;36679.63;0.00;3328.19;4472.49;170854.12;15657.00;2015
District of Columbia                                                                                                            ;DC;29470.47;2960157.04;88498.11;163142.67;29182.21;0.00;2436002.31;3506.51;239825.23;8580.00;2015
Florida                                                                                                                     ;FL;1558441.30;12276149.31;5626994.55;125364.65;1021330.72;0.00;152603.18;135627.00;5214229.22;503251.00;2015
Georgia                                                                                                                     ;GA;752499.46;5705037.20;3112295.38;9538.35;508281.65;0.00;106659.15;53166.68;1915095.99;197458.00;2015
Hawaii                                                                                                                     ;HI;120482.39;888037.45;394010.30;3346.92;183257.12;0.00;16891.13;13611.20;276920.78;26450.00;2015
Idaho                                                                                                               ;ID;132334.47;893404.05;405841.43;12261.73;56724.27;0.00;9580.42;8767.41;400228.79;42592.00;2015
Illinois                                                                                                               ;IL;705581.59;4395048.04;1687259.83;13424.38;329365.49;0.00;49120.05;61783.83;2254094.47;181710.00;2015
Indiana                                                                                                               ;IN;469209.83;2787065.95;1233530.44;5404.61;151371.90;0.00;53740.90;25497.44;1317520.67;130705.00;2015
Iowa                                                                                                              ;IA;227990.86;1397550.69;581555.96;248.22;74950.00;0.00;11567.86;19432.70;709795.96;72039.00;2015
Kansas                                                                                                             ;KS;218415.72;1415559.05;631884.84;738.11;110338.22;0.00;23747.04;16835.68;632015.16;58852.00;2015
Kentucky                                                                                                             ;KY;328408.26;2501382.76;1231438.20;15543.54;141334.92;0.00;43806.97;17999.59;1051259.55;101799.00;2015
Louisiana                                                                                                        ;LA;326229.06;2658351.00;1211259.67;288759.11;146459.52;0.00;28577.23;20551.66;962743.81;89654.00;2015
Maine                                                                                                       ;ME;125077.87;982591.16;519582.52;101.43;42841.07;0.00;19660.46;10280.76;390124.92;40174.00;2015
Maryland                                                                                                      ;MD;430446.05;2866922.88;1279895.44;10172.66;350881.82;0.00;24263.52;35023.05;1166686.39;84729.00;2015
Massachusetts;MA;367530.97;2693536.48;1141559.69;5359.62;211092.50;0.00;27522.37;39885.67;1268116.65;84625.00;2015
Michigan;MI;640864.83;3856571.93;1959409.94;10804.53;215843.53;0.00;54702.37;46716.53;1569095.04;152881.00;2015
Minnesota;MN;361128.97;2637123.57;1123595.19;10725.76;146596.93;0.00;86488.03;35199.50;1234518.16;117414.00;2015
Mississippi;MS;218979.70;1739068.04;791716.19;34603.03;96930.08;0.00;29818.65;12940.78;773059.30;69923.00;2015
Missouri                                                                                                                       ;MO;488219.52;3556661.00;1627459.65;70190.24;199876.80;0.00;154122.80;34210.52;1470801.00;140618.00;2015
Montana                                                                                                                        ;MT;99033.92;780684.99;324328.84;5971.67;40827.80;0.00;8800.92;7001.53;393754.23;36365.00;2015
Nebraska                                                                                                                       ;NE;141213.31;1171266.40;546459.18;11448.43;65077.96;0.00;37409.97;11703.05;499167.80;47822.00;2015
Nevada                                                                                                                         ;NV;225072.73;1885150.92;818843.69;27881.75;107052.55;0.00;14560.91;12546.99;904265.04;71894.00;2015
New Hampshire                                                                                                                  ;NH;111389.37;702720.03;313725.04;554.85;59060.34;0.00;6587.34;9098.22;313694.25;29595.00;2015
New Jersey                                                                                                                    ;NJ;413187.73;2157161.89;1036505.97;5046.56;207473.94;0.00;18670.14;49038.82;840426.47;77318.00;2015
New Mexico                                                                                                                     ;NM;170132.18;1499349.60;782081.03;11496.81;76754.69;0.00;13726.94;12854.47;602435.65;52842.00;2015
New York                                                                                                                      ;NY;862804.91;6284863.14;2377226.87;36121.23;567638.93;0.00;107919.16;94697.89;3101259.06;227633.00;2015
North Carolina                                                                                                                ;NC;773884.02;6380720.07;3436153.91;12444.96;474298.50;0.00;95035.55;58335.67;2304451.49;221522.00;2015
North Dakota                                                                                                                   ;ND;57086.45;386285.36;167895.22;5151.06;24961.78;0.00;6291.47;3862.84;178122.97;19361.00;2015
Ohio                                                                                                                           ;OH;848123.90;7699528.58;2192678.57;24745.13;307467.78;0.00;2608850.93;59109.52;2506676.65;231996.00;2015
Oklahoma                                                                                                                      ;OK;335905.01;3003074.00;1812030.92;10508.92;153716.20;0.00;123447.01;20901.19;882469.77;95358.00;2015
Oregon                                                                                                                         ;OR;326337.84;2627978.88;1281055.31;13213.24;145921.41;0.00;36758.20;26338.75;1124691.98;100961.00;2015
Pennsylvania                                                                                                                   ;PA;916638.17;5432717.65;2402975.46;33688.33;359206.37;0.00;159980.79;78070.66;2398796.04;234347.00;2015
Rhode Island                                                                                                                   ;RI;69861.90;545538.15;223371.37;2427.44;39554.80;0.00;25054.68;6256.60;248873.26;19707.00;2015
South Carolina                                                                                                                 ;SC;417514.75;3484527.10;1909397.53;8411.39;267690.13;0.00;68553.76;30328.42;1200145.89;132146.00;2015
South Dakota                                                                                                                   ;SD;71735.75;666733.14;236223.94;15050.06;30536.09;0.00;11253.84;4497.11;369172.10;30167.00;2015
Tennessee                                                                                                                      ;TN;503675.33;3977481.10;2046341.57;10755.32;265298.76;0.00;64844.47;33728.81;1556512.18;143137.00;2015
Texas                                                                                                                          ;TX;1675262.01;14812595.24;7447453.60;36772.34;1376590.07;865419.01;222872.44;119106.08;4744381.70;463875.00;2015
Utah                                                                                                                           ;UT;150903.77;1118885.06;440335.32;3463.16;127275.65;0.00;59881.28;12168.89;475760.77;36004.00;2015
Vermont                                                                                                                        ;VT;47664.01;324117.99;134177.05;8801.09;19992.10;0.00;4085.37;3494.02;153568.35;14920.00;2015
Virginia                                                                                                                       ;VA;783108.46;5424411.23;2775626.76;15689.21;890627.01;0.00;64952.33;54280.16;1623235.75;152800.00;2015
Washington                                                                                                                     ;WA;598459.91;4004525.57;2140766.20;50483.53;398814.14;0.00;71630.66;41277.83;1301553.22;128240.00;2015
West Virginia                                                                                                                  ;WV;165709.05;1896030.88;705354.94;4092.43;46197.88;0.00;369208.94;9374.16;761802.54;58450.00;2015
Wisconsin                                                                                                                     ;WI;405728.97;2756149.87;1118396.04;18677.51;134092.43;0.00;72836.53;35051.26;1377096.11;121747.00;2015
Wyoming                                                                                                                        ;WY;49837.79;426957.19;156163.12;6034.42;17174.06;0.00;1792.67;3027.83;242765.10;19092.00;2015
Puerto Rico                                                                                                                   ;#N/A;90394.74;1602762.38;784776.54;22876.07;64137.32;0.00;21447.58;5223.58;704301.29;56100.00;2015
Guam;#N/A;9493.48;89961.12;53086.89;0.00;16101.43;0.00;0.00;426.83;20345.98;2934.00;2015
Alabama;AL;373761.35;3429322.81;2062094.31;2559.63;219849.80;0.00;38702.80;25449.49;1080666.78;112993.00;2016
Alaska;AK;68436.26;639118.75;280603.31;498.07;76517.96;0.00;26627.27;2347.29;252524.85;20037.00;2016
Arizona                                                                                                                        ;AZ;515050.15;3919748.59;1833525.23;26069.14;386087.44;0.00;69949.70;36076.08;1568041.00;151910.00;2016
Arkansas                                                                                                                       ;AR;225117.59;2215940.44;1129084.13;13395.87;89670.25;0.00;28243.81;14433.29;941113.09;86483.00;2016
California;CA;1735212.60;15568594.92;7252271.47;171912.75;1861299.79;0.00;196187.34;153142.88;5933780.68;466638.00;2016
Colorado                                                                                                                       ;CO;407616.03;3638790.24;1683271.45;418850.13;403465.25;0.00;59848.94;34534.85;1038819.64;104971.00;2016
Connecticut                                                                                                                      ;CT;191607.10;1248954.85;469392.85;5072.56;117404.81;0.00;14973.21;23099.46;619011.96;50589.00;2016
Delaware                                                                                                                     ;DE;72831.07;441478.22;231633.71;3182.75;37030.10;0.00;3083.13;5486.86;161061.67;16086.00;2016
District of Columbia                                                                                                            ;DC;28412.82;2663846.69;96501.81;205323.39;33913.30;0.00;2094787.23;2063.87;231257.10;8595.00;2016
Florida                                                                                                                     ;FL;1559777.69;12738121.42;6288592.79;92251.22;1034447.62;0.00;144211.72;125545.54;5053072.53;508768.00;2016
Georgia                                                                                                                     ;GA;699322.09;6116766.61;3528819.38;2088.87;515335.63;0.00;105890.17;51535.37;1913097.19;205223.00;2016
Hawaii                                                                                                                     ;HI;112944.39;986114.17;438960.79;11580.03;206427.76;0.00;16168.15;12160.98;300816.46;27537.00;2016
Idaho                                                                                                               ;ID;123139.63;914442.20;457871.07;2730.88;54238.53;0.00;10165.40;10741.62;378694.70;44122.00;2016
Illinois                                                                                                               ;IL;646939.26;4438732.11;1847960.39;7747.53;340595.13;0.00;45318.13;60739.50;2136371.44;180538.00;2016
Indiana                                                                                                               ;IN;418579.28;2874119.51;1347665.27;5621.22;155405.08;0.00;55987.88;23982.21;1285457.85;131227.00;2016
Iowa                                                                                                              ;IA;211548.98;1381697.34;628838.05;154.66;75331.26;0.00;11273.84;17735.90;648363.64;71449.00;2016
Kansas                                                                                                             ;KS;196891.79;1455707.62;698220.81;1760.42;117573.58;0.00;21264.35;15007.88;601880.58;59443.00;2016
Kentucky                                                                                                             ;KY;298859.56;2598566.88;1339620.38;19407.06;144218.80;0.00;42560.51;18382.45;1034377.68;102491.00;2016
Louisiana                                                                                                        ;LA;287373.20;2590019.91;1325975.38;140422.79;150363.99;0.00;26253.65;19718.73;927285.37;90774.00;2016
Maine                                                                                                       ;ME;116782.33;1019908.10;569940.19;0.00;46537.05;0.00;18482.17;9995.71;374952.99;41276.00;2016
Maryland                                                                                                      ;MD;399035.62;2947069.67;1412897.15;9765.02;373669.07;0.00;23448.22;31635.96;1095654.26;85030.00;2016
Massachusetts;MA;336257.08;2739920.32;1236294.28;11445.93;223612.78;0.00;27121.44;40695.57;1200750.32;85575.00;2016
Michigan;MI;608270.51;4004299.55;2148061.36;18031.99;225016.59;0.00;52800.48;45514.79;1514874.34;155718.00;2016
Minnesota;MN;337362.36;2677849.17;1225675.32;12563.66;138626.21;0.00;86127.78;34595.57;1180260.63;118886.00;2016
Mississippi;MS;193589.22;1750776.27;882754.58;8320.12;94794.82;0.00;28272.06;11985.19;724649.50;68847.00;2016
Missouri                                                                                                                       ;MO;450683.52;3625705.09;1773037.83;69195.02;199816.33;0.00;139055.19;31742.76;1412857.95;141910.00;2016
Montana                                                                                                                        ;MT;92377.48;779107.71;353054.38;1935.42;41501.93;0.00;8505.02;6021.02;368089.94;36637.00;2016
Nebraska                                                                                                                       ;NE;133002.94;1157482.64;594498.44;15331.52;65805.00;0.00;37189.17;11203.59;433454.92;47842.00;2016
Nevada                                                                                                                         ;NV;221995.77;1979112.76;944686.95;14059.08;111875.46;0.00;14796.14;13114.22;880580.92;74019.00;2016
New Hampshire                                                                                                                  ;NH;108118.63;732415.08;344687.69;334.40;59741.54;0.00;6667.24;8300.56;312683.65;30528.00;2016
New Jersey                                                                                                                    ;NJ;371518.39;2240502.32;1126819.76;5876.57;232159.42;0.00;20108.55;45143.04;810394.99;77244.00;2016
New Mexico                                                                                                                     ;NM;161311.10;1571478.70;853571.70;17822.30;77528.50;0.00;13681.67;13271.04;595603.50;53397.00;2016
New York                                                                                                                      ;NY;806826.77;6311501.95;2567691.42;50088.57;593736.06;0.00;102989.21;82112.84;2914883.85;227361.00;2016
North Carolina                                                                                                                ;NC;731377.79;6833376.37;3875722.68;14972.92;500755.28;0.00;92863.38;57525.01;2291537.11;230469.00;2016
North Dakota                                                                                                                   ;ND;52042.95;375096.95;182453.33;6767.34;27329.74;0.00;5865.33;3336.32;149344.89;19273.00;2016
Ohio                                                                                                                           ;OH;796267.17;8061429.56;2412517.52;28162.14;298251.83;0.00;2799537.35;56340.48;2466620.24;237198.00;2016
Oklahoma                                                                                                                      ;OK;306074.30;3209603.93;2011045.13;4137.47;162696.37;0.00;126405.41;21900.00;883419.55;96851.00;2016
Oregon                                                                                                                         ;OR;310332.56;2738392.93;1392001.73;20773.75;150760.95;0.00;37472.39;22319.09;1115065.02;103381.00;2016
